지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),최다풍향(16방위),평균 상대습도(%)
108,서울,2010-01-01,-7.6,,1.9,70,48
108,서울,2010-01-02,-3.6,1.4,2.8,70,76.4
108,서울,2010-01-03,-6.8,,2.2,290,49.3
108,서울,2010-01-04,-5.9,14.2,3,70,84.1
108,서울,2010-01-05,-9.9,0,2.9,290,66.4
108,서울,2010-01-06,-11.2,,1.9,320,65.5
108,서울,2010-01-07,-10.1,,1.7,20,66.8
108,서울,2010-01-08,-8,,1.7,50,67.4
108,서울,2010-01-09,-5.1,.4,1.5,50,75.8
108,서울,2010-01-10,-3.4,,1.7,290,79.1
108,서울,2010-01-11,-5.2,,2.3,290,75.1
108,서울,2010-01-12,-10.3,,2.9,290,52.1
108,서울,2010-01-13,-13.2,,3.2,290,53.4
108,서울,2010-01-14,-9.1,0,1.8,50,55.8
108,서울,2010-01-15,-5,.3,2.4,70,65.1
108,서울,2010-01-16,-6.4,,1.9,290,52.5
108,서울,2010-01-17,-4,,1.4,50,61
108,서울,2010-01-18,-.5,,1.6,70,69.6
108,서울,2010-01-19,2.7,3,2.2,70,72.1
108,서울,2010-01-20,5.8,7,1.7,50,96.5
108,서울,2010-01-21,-4.1,.5,4.1,320,60.8
108,서울,2010-01-22,-7,,3.5,290,47.3
108,서울,2010-01-23,-5.3,,2.1,290,46.4
108,서울,2010-01-24,.3,,2.9,250,66.6
108,서울,2010-01-25,-3,,3.6,290,52.4
108,서울,2010-01-26,-4.1,,1.9,50,53.1
108,서울,2010-01-27,-.2,2.5,2.1,70,72.6
108,서울,2010-01-28,-.4,,3.6,290,68.1
108,서울,2010-01-29,-2.1,0,2.7,270,55.1
108,서울,2010-01-30,1.5,,2,270,67.4
108,서울,2010-01-31,1.8,,1.3,50,82.4
108,서울,2010-02-01,.8,,2.6,290,71.6
108,서울,2010-02-02,-6.2,,3.7,320,29.6
108,서울,2010-02-03,-8,,3.3,290,37.1
108,서울,2010-02-04,-4.3,0,2.8,290,50.3
108,서울,2010-02-05,-5.5,,3,290,34.5
108,서울,2010-02-06,-4.7,,2.3,290,36.6
108,서울,2010-02-07,.7,,1.6,50,31.3
108,서울,2010-02-08,4,0,1.6,70,47.9
108,서울,2010-02-09,3.7,12,1.3,70,87.4
108,서울,2010-02-10,3.9,2,1.9,70,80.3
108,서울,2010-02-11,.6,10.5,3.3,70,84.4
108,서울,2010-02-12,-.3,.3,2.1,70,82
108,서울,2010-02-13,-2.3,1.3,3,290,69.8
