지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),최다풍향(16방위),평균 상대습도(%)
108,서울,2017-01-01,2.7,,1.5,20,75.9
108,서울,2017-01-02,5,.3,2.1,20,77.8
108,서울,2017-01-03,2,,1.8,270,61.8
108,서울,2017-01-04,3.9,,1.7,270,55
108,서울,2017-01-05,3.8,,3.1,50,52.3
108,서울,2017-01-06,5.4,,2.4,50,58.5
108,서울,2017-01-07,4.6,,1.4,50,64.9
108,서울,2017-01-08,6.5,0,2.6,70,61.4
108,서울,2017-01-09,1.5,0,3.3,270,60.8
108,서울,2017-01-10,-3.7,,3.2,270,45.1
108,서울,2017-01-11,-3.8,,2.1,270,36.4
108,서울,2017-01-12,-2.2,0,3.1,270,43.1
108,서울,2017-01-13,-6,.6,2.9,270,47.4
108,서울,2017-01-14,-8.4,,3.8,290,33.3
108,서울,2017-01-15,-6.6,,2.3,270,35.3
108,서울,2017-01-16,-3.8,,1.4,20,37.6
108,서울,2017-01-17,-2,,1.5,20,46.6
108,서울,2017-01-18,-.5,0,1.3,270,68.9
108,서울,2017-01-19,-1.2,,1.6,270,55.4
108,서울,2017-01-20,-4.4,4,3,270,70.3
108,서울,2017-01-21,-5.2,2.1,1.6,20,78.1
108,서울,2017-01-22,-8.3,0,3.8,290,51.3
108,서울,2017-01-23,-8.9,,2.2,270,48.4
108,서울,2017-01-24,-7,,2,290,49.6
108,서울,2017-01-25,-5.2,,1.5,270,50.6
108,서울,2017-01-26,-1.3,.3,2.2,20,64.4
108,서울,2017-01-27,-2.6,3,3.4,270,47.3
108,서울,2017-01-28,-1.6,,1.7,50,38
108,서울,2017-01-29,.8,4.5,1.8,70,71.1
108,서울,2017-01-30,-4.8,.1,3.3,270,61.4
108,서울,2017-01-31,-5.4,,1.7,270,44.8
108,서울,2017-02-01,-4,,2.5,290,44.5
108,서울,2017-02-02,-2.7,,2.7,250,52.9
108,서울,2017-02-03,1.5,,1.5,250,65.4
108,서울,2017-02-04,.9,,1.6,20,69.4
108,서울,2017-02-05,1.2,.5,2.1,250,75.3
108,서울,2017-02-06,-1.7,,3,290,51
108,서울,2017-02-07,-2,,1.5,270,45.4
108,서울,2017-02-08,-2.2,,2,270,50.1
108,서울,2017-02-09,-5.3,,3.8,270,47
108,서울,2017-02-10,-6.6,,4.1,270,44.3
108,서울,2017-02-11,-4.8,,2.8,270,45.4
108,서울,2017-02-12,-2.2,,2.1,270,51.3
108,서울,2017-02-13,.1,,1.6,270,59.6
108,서울,2017-02-14,.3,,2.5,290,46
108,서울,2017-02-15,1.8,,1.4,360,52.1
108,서울,2017-02-16,5.5,0,2,20,63.9
108,서울,2017-02-17,.8,4,3.9,270,56.9
108,서울,2017-02-18,-2.6,,2.8,270,49.4
108,서울,2017-02-19,2.3,1,1.9,160,68
108,서울,2017-02-20,-1.5,.5,4.2,290,53.8
108,서울,2017-02-21,-.6,,1.6,270,37.1
108,서울,2017-02-22,1.7,5.1,2.7,70,70.8
108,서울,2017-02-23,-1.5,,3.8,270,56.4
108,서울,2017-02-24,-.8,,2.2,270,51.3
108,서울,2017-02-25,2.6,,2.3,200,63.6
108,서울,2017-02-26,3.6,,2.1,270,52.8
108,서울,2017-02-27,3.7,,1.8,270,37.4
108,서울,2017-02-28,5.6,,2,230,41.5
108,서울,2017-03-01,5,5,1.8,20,65
108,서울,2017-03-02,1.8,.5,3.1,270,59.5
108,서울,2017-03-03,3.3,,2.1,250,54.4
108,서울,2017-03-04,5.7,,1.6,20,60
108,서울,2017-03-05,5.2,.5,2.1,270,71.6
108,서울,2017-03-06,.1,,4,290,41.3
108,서울,2017-03-07,-1.3,0,3.9,270,37.5
108,서울,2017-03-08,-.1,0,3.1,270,50.6
108,서울,2017-03-09,3.2,,3.1,270,47.3
108,서울,2017-03-10,4.8,,2.2,270,37.4
108,서울,2017-03-11,7.3,,1.8,270,37.4
108,서울,2017-03-12,8.2,0,2,270,58.4
108,서울,2017-03-13,6.9,,2.5,270,49.8
108,서울,2017-03-14,5.8,,3.2,270,37.5
108,서울,2017-03-15,6.3,,2.1,250,34.9
108,서울,2017-03-16,6.2,,1.9,270,41.8
108,서울,2017-03-17,7.7,,2,270,43.1
108,서울,2017-03-18,9.5,,2.3,250,34.1
108,서울,2017-03-19,10.9,,1.6,360,36
108,서울,2017-03-20,10.2,,1.8,50,40.4
108,서울,2017-03-21,7.4,,3.1,290,48.1
108,서울,2017-03-22,7.6,,2.5,290,32.8
108,서울,2017-03-23,9.1,,2.2,250,34
108,서울,2017-03-24,8.7,,2.1,50,41.4
108,서울,2017-03-25,8.1,,2.1,270,41.1
108,서울,2017-03-26,7.3,,2.2,270,53.1
108,서울,2017-03-27,6.1,.4,2.5,270,67.4
108,서울,2017-03-28,7.1,,1.9,20,59.8
108,서울,2017-03-29,8.8,,2.3,250,54.9
108,서울,2017-03-30,10.6,,1.9,270,50
108,서울,2017-03-31,8.6,1.5,2.4,50,70.6
108,서울,2017-04-01,9,1,2.1,270,60.5
108,서울,2017-04-02,9,,2.1,250,53.1
108,서울,2017-04-03,11.4,,2.1,250,45.6
108,서울,2017-04-04,14.1,,2,20,35.3
108,서울,2017-04-05,12,37.5,2.4,50,66
108,서울,2017-04-06,10.4,3,2.4,230,90
108,서울,2017-04-07,14.5,,2.1,250,68.1
108,서울,2017-04-08,13,.5,2.5,250,74.5
108,서울,2017-04-09,14.8,.5,2.8,70,59.6
108,서울,2017-04-10,16.5,,2.8,70,25.8
108,서울,2017-04-11,15.3,,3.2,250,36.8
108,서울,2017-04-12,11.5,,3.7,250,21.8
108,서울,2017-04-13,12.7,0,2.5,200,54
108,서울,2017-04-14,13,6,3.5,230,57.9
108,서울,2017-04-15,16.8,,2.2,270,59.4
108,서울,2017-04-16,18.7,,1.4,50,52.9
108,서울,2017-04-17,14.7,5.5,2.2,340,66.5
108,서울,2017-04-18,11.7,7.5,2.5,250,76.5
108,서울,2017-04-19,12.6,,2.9,270,43.1
108,서울,2017-04-20,12.9,.1,2.3,290,45.4
108,서울,2017-04-21,13.1,,2,270,56.5
108,서울,2017-04-22,14.8,,2.1,270,48.4
108,서울,2017-04-23,14.9,,2.4,270,40
108,서울,2017-04-24,15.1,,2.7,50,39.4
108,서울,2017-04-25,16,,2.7,230,56.8
108,서울,2017-04-26,15.1,,3.3,270,36
108,서울,2017-04-27,13.6,,3.3,270,41.8
108,서울,2017-04-28,14.4,,3,200,57.3
108,서울,2017-04-29,17.1,,2.7,230,44.3
108,서울,2017-04-30,19.3,,2.6,200,57.9
108,서울,2017-05-01,20.1,,1.9,270,50.8
108,서울,2017-05-02,20.7,,2.1,270,42
108,서울,2017-05-03,21.5,,2,270,34.1
108,서울,2017-05-04,21,,2,270,43.6
108,서울,2017-05-05,20.9,,3.2,270,53.4
108,서울,2017-05-06,14.9,,3.8,230,32
108,서울,2017-05-07,16.6,,3.2,250,42.6
108,서울,2017-05-08,17.9,,2.1,200,43.6
108,서울,2017-05-09,17.1,2.5,1.6,50,62.6
108,서울,2017-05-10,16.4,2.5,2.5,290,73
108,서울,2017-05-11,19.3,0,1.8,250,65.3
108,서울,2017-05-12,19.1,,2.1,200,71.6
108,서울,2017-05-13,16.4,6,3.1,230,77.8
108,서울,2017-05-14,15.7,,3.7,270,58.3
