지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),최다풍향(16방위),평균 상대습도(%)
108,서울,2015-01-01,-7.7,,4.6,290,41.4
108,서울,2015-01-02,-6,,3.2,270,45.9
108,서울,2015-01-03,-2.7,,1.9,230,56.1
108,서울,2015-01-04,2.5,0,2,50,70.1
108,서울,2015-01-05,3.7,.4,2.4,70,73.1
108,서울,2015-01-06,-3.2,3,4.3,290,52.4
108,서울,2015-01-07,-5.5,,2.5,270,33.1
108,서울,2015-01-08,-5.1,,2.2,270,45.8
108,서울,2015-01-09,-2.1,,2,270,58.3
108,서울,2015-01-10,-.3,,2.3,270,56.5
108,서울,2015-01-11,-.4,,3.6,290,57.8
108,서울,2015-01-12,-2.7,,1.8,270,37.8
108,서울,2015-01-13,.2,,1.8,50,39.6
108,서울,2015-01-14,2.5,,1.5,20,41.1
108,서울,2015-01-15,2.8,,2.1,270,53.6
108,서울,2015-01-16,.8,.3,4,250,73
108,서울,2015-01-17,-4.1,,3.8,270,46
108,서울,2015-01-18,-1.3,4,2.3,50,68.4
108,서울,2015-01-19,-.1,.1,3.2,270,68.1
108,서울,2015-01-20,-.9,,1.9,50,55.8
108,서울,2015-01-21,2.6,,2,70,58.3
108,서울,2015-01-22,3.1,,1.5,270,60.6
108,서울,2015-01-23,1.2,,2.6,50,66.4
108,서울,2015-01-24,3.7,,1.8,290,62.9
108,서울,2015-01-25,3,3,3.5,70,78.4
108,서울,2015-01-26,3.6,.5,2.6,270,87.5
108,서울,2015-01-27,-3.6,,3.7,290,55.4
108,서울,2015-01-28,-4.1,,2.3,70,49.3
108,서울,2015-01-29,-1.1,,2.3,70,56.4
108,서울,2015-01-30,-3.3,,3.8,290,51.8
108,서울,2015-01-31,-4.5,,2.6,270,46.4
108,서울,2015-02-01,-3,,1.9,290,44.9
108,서울,2015-02-02,-.6,,1.5,20,47.3
108,서울,2015-02-03,.6,,2.1,20,54.5
108,서울,2015-02-04,.4,,2,270,64.5
108,서울,2015-02-05,-.1,,3,270,57.1
108,서울,2015-02-06,.4,,2.2,290,57.3
108,서울,2015-02-07,1.2,,2.6,250,65.3
108,서울,2015-02-08,-9.8,,5.3,290,34.1
108,서울,2015-02-09,-5.7,.2,3.1,270,54.6
108,서울,2015-02-10,1.7,,2.8,250,69
108,서울,2015-02-11,2.7,,2.5,270,60.3
108,서울,2015-02-12,-2.2,,4.2,270,36.8
108,서울,2015-02-13,-1.6,,3.1,270,46.4
108,서울,2015-02-14,2,,2.2,20,72.9
108,서울,2015-02-15,7.9,,2.9,70,61.6
108,서울,2015-02-16,5,10.5,3.5,70,91.9
108,서울,2015-02-17,1.9,.5,3.5,290,78.5
108,서울,2015-02-18,.8,0,2.5,270,72
108,서울,2015-02-19,2.2,,1.6,290,67.1
108,서울,2015-02-20,5.2,,2,50,55.3
108,서울,2015-02-21,5.7,8,3.4,70,79
108,서울,2015-02-22,3.5,2.5,4.1,270,78
108,서울,2015-02-23,.9,,3,270,60.4
108,서울,2015-02-24,2.1,,2.3,270,60
108,서울,2015-02-25,5.4,.5,2.9,50,48.6
108,서울,2015-02-26,1.2,.5,4.9,270,56.9
108,서울,2015-02-27,-1.3,,3.2,270,35.6
108,서울,2015-02-28,2.7,,2,70,40.5
108,서울,2015-03-01,2.4,0,3.7,270,56.8
108,서울,2015-03-02,3.9,,2.8,230,43.5
108,서울,2015-03-03,2.8,5.5,3.4,200,69.5
108,서울,2015-03-04,-2.1,,5.3,270,43.4
108,서울,2015-03-05,-.3,,1.9,290,41.1
108,서울,2015-03-06,2.9,,2.3,270,37.8
108,서울,2015-03-07,4.2,,2.3,270,45.5
108,서울,2015-03-08,7.7,,1.8,50,42.5
108,서울,2015-03-09,2.2,,5.4,290,43.4
108,서울,2015-03-10,-3.4,,5.9,290,30.6
108,서울,2015-03-11,.4,,4.5,250,45.1
108,서울,2015-03-12,2.1,,4,250,41
108,서울,2015-03-13,5.6,.1,3,270,45.4
108,서울,2015-03-14,4.3,,2.3,250,31.4
108,서울,2015-03-15,5.5,,2.2,270,42
108,서울,2015-03-16,9.8,,2,270,44.4
108,서울,2015-03-17,10.7,0,1.8,50,51.9
108,서울,2015-03-18,10.7,1.5,4,70,61.5
108,서울,2015-03-19,12.4,,2.5,70,50.9
108,서울,2015-03-20,13.4,,2.5,270,32.5
108,서울,2015-03-21,11.7,,2.7,250,31
108,서울,2015-03-22,8.3,,4.2,270,33.3
108,서울,2015-03-23,4.6,,4.2,290,24.3
108,서울,2015-03-24,5.4,,2.6,250,32.8
108,서울,2015-03-25,6.5,,2.5,270,45.9
108,서울,2015-03-26,7.9,,3.1,270,47.5
108,서울,2015-03-27,9.1,,2.6,270,50.5
108,서울,2015-03-28,9.7,,2.8,270,35
108,서울,2015-03-29,10.5,,2.5,270,61.9
108,서울,2015-03-30,13.2,,2.6,270,57.4
108,서울,2015-03-31,12.9,2.5,2.2,70,80.6
108,서울,2015-04-01,12.9,2.5,4.1,70,67.9
108,서울,2015-04-02,14.8,28,5,70,70.5
108,서울,2015-04-03,10.6,3.5,2.8,270,83.4
108,서울,2015-04-04,13.5,0,4.3,70,48
108,서울,2015-04-05,10.5,.5,2.5,70,75.1
108,서울,2015-04-06,10.3,,2.7,290,55.8
108,서울,2015-04-07,8.4,0,2.6,50,59.5
108,서울,2015-04-08,8.3,,2.9,70,52.5
108,서울,2015-04-09,9.6,,2.3,50,43
108,서울,2015-04-10,11.6,,2.8,270,40.5
108,서울,2015-04-11,13.5,,2.5,270,39.3
108,서울,2015-04-12,14.9,,2.9,70,30.6
108,서울,2015-04-13,12,6.5,5.9,70,53.9
108,서울,2015-04-14,6.9,10.5,2.7,50,89.9
108,서울,2015-04-15,11.1,1,2.9,250,72
108,서울,2015-04-16,9.9,7,3.6,250,69.5
108,서울,2015-04-17,10.5,,3.7,230,45.4
108,서울,2015-04-18,15.2,0,1.9,70,31.9
108,서울,2015-04-19,14.5,12,3.7,70,74.8
108,서울,2015-04-20,12.2,5.5,3.2,50,75.3
108,서울,2015-04-21,14,,2.9,270,46
108,서울,2015-04-22,14.2,0,3,270,47
108,서울,2015-04-23,14.5,,3.5,230,41.1
108,서울,2015-04-24,15.7,,3.2,270,38.3
108,서울,2015-04-25,15.9,,2.7,270,31.3
108,서울,2015-04-26,17.3,,3.3,50,37.6
108,서울,2015-04-27,18.5,,2.8,250,39.3
108,서울,2015-04-28,20.3,0,2.1,70,38.6
108,서울,2015-04-29,17,3.5,2.9,70,77
108,서울,2015-04-30,21.2,,2.2,70,56.6
108,서울,2015-05-01,21,,2.5,270,58.8
108,서울,2015-05-02,20.7,.5,2.1,250,64.4
108,서울,2015-05-03,18.3,3.5,2.1,50,90.4
108,서울,2015-05-04,16.1,,4.2,270,45.9
108,서울,2015-05-05,14.2,,3.4,250,37.9
108,서울,2015-05-06,15.4,,2.4,230,36.3
108,서울,2015-05-07,16.5,,2.6,50,35.6
108,서울,2015-05-08,16.7,,2.5,250,64.3
108,서울,2015-05-09,17.6,,3,270,55
108,서울,2015-05-10,19.1,,2.3,270,39.6
108,서울,2015-05-11,18.4,14,3,90,62.1
108,서울,2015-05-12,13.3,9.5,6.4,230,75.9
108,서울,2015-05-13,17.4,0,5.3,230,56.9
108,서울,2015-05-14,20.4,,3.3,230,63.8
108,서울,2015-05-15,19.1,,2.7,270,71
108,서울,2015-05-16,18,,3,250,41.3
108,서울,2015-05-17,18.6,,2.2,290,40.4
108,서울,2015-05-18,17.7,,3.2,50,53.9
108,서울,2015-05-19,14.8,1,3.6,230,88.9
108,서울,2015-05-20,16.3,,3.1,270,60
108,서울,2015-05-21,18.7,,3.7,230,50.1
108,서울,2015-05-22,20,,2.9,270,45.3
108,서울,2015-05-23,20.6,,2.5,250,38.5
108,서울,2015-05-24,21,,2.4,270,37.3
108,서울,2015-05-25,20.8,,2.7,250,53.1
