지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),최다풍향(16방위),평균 상대습도(%)
108,서울,2004-01-01,3.7,,1.9,270,73.1
108,서울,2004-01-02,3.1,3,2.5,270,65.9
108,서울,2004-01-03,3.9,,2.2,290,54
108,서울,2004-01-04,1.8,,1.3,50,37.5
108,서울,2004-01-05,2.9,,1.4,50,52.3
108,서울,2004-01-06,4.5,,1.4,50,71.1
108,서울,2004-01-07,1.7,,3,290,65.4
108,서울,2004-01-08,.3,,1.3,50,40.9
108,서울,2004-01-09,1.8,,2.1,50,56
108,서울,2004-01-10,-.3,,2.9,290,43.1
108,서울,2004-01-11,-.6,,1.5,50,40.9
108,서울,2004-01-12,-.7,1.9,2.8,290,71
108,서울,2004-01-13,-6.7,0,3.8,290,58
108,서울,2004-01-14,-5.1,,1.6,50,47.6
108,서울,2004-01-15,-1.3,,1.7,50,65.8
108,서울,2004-01-16,1.4,,1.7,50,66
108,서울,2004-01-17,1.2,7.9,1.6,50,90.4
108,서울,2004-01-18,.3,4.8,2.2,270,88.4
108,서울,2004-01-19,-1,0,2.7,290,59.9
108,서울,2004-01-20,-4.4,2.2,2.5,290,50.3
108,서울,2004-01-21,-14.3,,3.9,320,46.6
108,서울,2004-01-22,-13,,3.3,290,50.6
108,서울,2004-01-23,-8.7,,2,290,50.5
108,서울,2004-01-24,-7.3,,2.2,290,53.5
108,서울,2004-01-25,-7,,2.2,290,60.6
108,서울,2004-01-26,-5.9,,1.6,290,63.8
108,서울,2004-01-27,-4.1,,2.2,290,54.1
108,서울,2004-01-28,-.4,,1.8,50,62.8
108,서울,2004-01-29,2.3,,1.8,50,66.5
108,서울,2004-01-30,1.7,,1.7,290,65.8
108,서울,2004-01-31,1.9,,1.6,50,65.3
108,서울,2004-02-01,3.1,,1.8,50,58.9
108,서울,2004-02-02,-1.7,,3.6,290,44.3
108,서울,2004-02-03,-4.2,,3.3,290,42.9
108,서울,2004-02-04,-1.4,0,3.1,250,57.3
108,서울,2004-02-05,-4.9,0,3.8,290,41.6
108,서울,2004-02-06,-4,.4,2.5,270,61.3
108,서울,2004-02-07,-3.6,0,3.4,290,58.8
108,서울,2004-02-08,-.2,,2.7,290,56.9
