지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),최다풍향(16방위),평균 상대습도(%)
108,서울,2011-01-01,-6.8,,1.9,270,61
108,서울,2011-01-02,-5.4,,1.9,270,62.3
108,서울,2011-01-03,-4.5,,2.1,270,66.4
108,서울,2011-01-04,-3.9,,2.2,290,66.4
108,서울,2011-01-05,-4,,3.8,270,62.9
108,서울,2011-01-06,-7.6,,2.9,270,53.5
108,서울,2011-01-07,-7,,2.1,270,48.8
108,서울,2011-01-08,-3.6,.2,2.5,50,67.9
108,서울,2011-01-09,-7,0,4.1,290,52.6
108,서울,2011-01-10,-8.2,,2.4,270,44
108,서울,2011-01-11,-5.4,1.9,2.5,20,70.3
108,서울,2011-01-12,-8.2,,3.4,270,44.6
108,서울,2011-01-13,-5.9,,1.8,20,47
108,서울,2011-01-14,-3.8,1.1,3.4,50,59.1
108,서울,2011-01-15,-12.2,,4.9,290,40
108,서울,2011-01-16,-14.5,,3.4,270,45.4
108,서울,2011-01-17,-9.7,,2.4,270,49.8
108,서울,2011-01-18,-6.7,,2.2,290,48.9
108,서울,2011-01-19,-6.6,0,2.7,270,46.4
108,서울,2011-01-20,-8.2,,2.7,290,43.6
108,서울,2011-01-21,-6.8,,2.5,290,44.4
108,서울,2011-01-22,-4.3,.4,2.5,50,59.8
108,서울,2011-01-23,-4.5,5.3,2.6,50,72.5
108,서울,2011-01-24,-8.8,,3.1,270,60.8
108,서울,2011-01-25,-8.4,,2.6,270,60.1
108,서울,2011-01-26,-8.5,,3.2,270,51.5
108,서울,2011-01-27,-8.9,,2.8,270,47.3
108,서울,2011-01-28,-7.9,,2.8,270,43.3
108,서울,2011-01-29,-9.1,,3.7,270,43.1
108,서울,2011-01-30,-10.1,,3.7,270,43.5
108,서울,2011-01-31,-6.2,0,1.9,270,61.5
108,서울,2011-02-01,-.2,,1.9,20,68
108,서울,2011-02-02,1.3,,1.6,20,60.9
108,서울,2011-02-03,1.5,,1.4,20,75.9
108,서울,2011-02-04,1.2,,2,270,77.8
108,서울,2011-02-05,1.1,,1.8,270,72.9
108,서울,2011-02-06,.3,,1.6,50,75.4
108,서울,2011-02-07,.3,,1.8,290,63.6
108,서울,2011-02-08,2.9,,2.2,50,44.9
108,서울,2011-02-09,-1.2,,3.4,270,46.5
108,서울,2011-02-10,-2.1,,2.2,270,35
108,서울,2011-02-11,-2.9,,3.1,270,42
