지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),최다풍향(16방위),평균 상대습도(%)
108,서울,2006-01-01,1.4,0,1.6,290,80.1
108,서울,2006-01-02,.2,0,2.8,290,71.5
108,서울,2006-01-03,-2.4,,2.9,290,37.5
108,서울,2006-01-04,-6.2,,2.8,290,42.6
108,서울,2006-01-05,-7.1,,2.5,290,39.6
108,서울,2006-01-06,-7.5,,2.8,290,44.1
108,서울,2006-01-07,-6.2,,2.3,290,38.6
108,서울,2006-01-08,-4.2,,1.4,290,44.5
108,서울,2006-01-09,-1.6,.3,1.7,50,57.5
108,서울,2006-01-10,-.3,,2,290,72.5
108,서울,2006-01-11,-1.2,,1.5,50,45.8
108,서울,2006-01-12,1.4,6.5,3.2,70,48.9
108,서울,2006-01-13,4.1,26.5,2.5,70,93.3
108,서울,2006-01-14,4.4,,1.6,50,72.3
108,서울,2006-01-15,3.7,,2,50,70.1
108,서울,2006-01-16,1.8,,1.5,50,68.1
108,서울,2006-01-17,1.3,,1.7,290,50.5
108,서울,2006-01-18,1.3,,1.7,290,54.9
108,서울,2006-01-19,2.4,,2.2,70,55.9
108,서울,2006-01-20,2.6,,2.1,70,55.5
108,서울,2006-01-21,.9,,2,290,49
108,서울,2006-01-22,-3.1,,3.4,290,39
108,서울,2006-01-23,-4.7,,2.6,290,45.4
108,서울,2006-01-24,-3.1,,1.9,290,42.5
108,서울,2006-01-25,-.7,,1.7,290,47.4
108,서울,2006-01-26,.2,,2.1,290,62.3
108,서울,2006-01-27,1.4,,2.6,290,61.8
108,서울,2006-01-28,1.3,,1.6,50,53.9
108,서울,2006-01-29,4.5,0,1.8,70,58.1
108,서울,2006-01-30,5,0,1.7,290,65.3
108,서울,2006-01-31,3.8,1,1.9,50,80.9
108,서울,2006-02-01,1.7,0,2.9,320,59.5
108,서울,2006-02-02,-2.9,,3.5,290,45.5
108,서울,2006-02-03,-11.7,,3.6,290,38.9
108,서울,2006-02-04,-9.3,,2.9,290,37.9
108,서울,2006-02-05,-5.3,,1.7,50,35.6
108,서울,2006-02-06,.2,,1.9,50,28.9
108,서울,2006-02-07,-.9,8.4,3.1,290,80.5
108,서울,2006-02-08,-7.2,,4,290,53.3
108,서울,2006-02-09,-4.5,.9,2.6,230,65.6
108,서울,2006-02-10,1.4,,3.1,250,65
108,서울,2006-02-11,1.2,,2.6,290,54
108,서울,2006-02-12,-1.8,,2.3,290,42.9
108,서울,2006-02-13,4.5,.1,2.2,50,48.4
108,서울,2006-02-14,5.5,5.5,2.3,50,92.9
108,서울,2006-02-15,4.6,,1.7,50,77.5
108,서울,2006-02-16,1.7,,3.1,290,51.3
108,서울,2006-02-17,-4.5,,3.5,290,37.1
108,서울,2006-02-18,.2,,2.3,50,54.9
108,서울,2006-02-19,3.3,,1.7,290,61.4
