지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),최다풍향(16방위),평균 상대습도(%)
108,서울,2016-01-01,1.2,,1.6,90,73
108,서울,2016-01-02,5.7,,2,320,76.9
108,서울,2016-01-03,6.5,,1.8,320,80.6
108,서울,2016-01-04,2,,3.1,320,54.4
108,서울,2016-01-05,-2.7,,2.3,20,39.4
108,서울,2016-01-06,-1.7,,1.8,320,54.3
108,서울,2016-01-07,-3.4,,2.5,20,51.8
108,서울,2016-01-08,-3.3,,2,290,49.8
108,서울,2016-01-09,-2.1,,2.1,360,57.1
108,서울,2016-01-10,.3,,2.6,50,42.3
108,서울,2016-01-11,-3.8,,2.8,50,38.3
108,서울,2016-01-12,-5.2,,2.5,50,46
108,서울,2016-01-13,-4.5,.4,2,50,63
108,서울,2016-01-14,-3.4,0,1.7,230,52.1
108,서울,2016-01-15,-.4,,1.8,160,52.3
108,서울,2016-01-16,-.2,.1,2.9,90,68
108,서울,2016-01-17,1.7,,2.4,90,64
108,서울,2016-01-18,-6.3,.2,4.8,340,59.8
108,서울,2016-01-19,-12.8,,5.4,340,45.9
108,서울,2016-01-20,-10.5,,1.8,50,43.6
108,서울,2016-01-21,-7.1,,1.8,320,44.3
108,서울,2016-01-22,-7.6,,2.6,320,40.5
108,서울,2016-01-23,-11.5,0,4,340,42
108,서울,2016-01-24,-14.4,,3.2,340,48.5
108,서울,2016-01-25,-9.4,,1.9,320,47.1
108,서울,2016-01-26,-3.3,.3,2.3,90,64.5
108,서울,2016-01-27,-1.1,,2,340,56.3
108,서울,2016-01-28,-.5,,1.6,110,51.5
108,서울,2016-01-29,1.9,,2.3,90,43.6
108,서울,2016-01-30,.6,,2,320,59.5
108,서울,2016-01-31,-3.9,,3.2,320,34
108,서울,2016-02-01,-6,,3,320,36
108,서울,2016-02-02,-5.3,,2.2,340,41.8
108,서울,2016-02-03,-2.4,,1.9,70,49.6
108,서울,2016-02-04,-.7,,2.4,320,50.1
108,서울,2016-02-05,-2.2,,2.5,320,39.4
108,서울,2016-02-06,-3.1,,2.9,320,38.6
108,서울,2016-02-07,-2.9,,2,320,46.5
108,서울,2016-02-08,1.3,,3.1,270,62.1
108,서울,2016-02-09,.3,,3,320,52.5
108,서울,2016-02-10,2.7,,1.6,90,38.5
108,서울,2016-02-11,8.1,.1,3.5,110,29.3
108,서울,2016-02-12,8.4,18,3.2,110,95.3
108,서울,2016-02-13,11,21,3.3,140,95
108,서울,2016-02-14,-2.6,2.5,4.6,320,73.1
108,서울,2016-02-15,-5.8,0,4,340,48.4
108,서울,2016-02-16,-2.7,.8,2.7,320,65.6
108,서울,2016-02-17,0,,2.3,320,53.9
108,서울,2016-02-18,3.5,,3.2,270,66.4
108,서울,2016-02-19,2.3,,1.7,290,56.4
108,서울,2016-02-20,1.3,,2.9,340,37.1
108,서울,2016-02-21,-.6,,2.9,320,36.4
108,서울,2016-02-22,1.1,0,1.9,270,36.6
108,서울,2016-02-23,.7,.9,3.2,340,56
108,서울,2016-02-24,-3,,2.9,340,42
108,서울,2016-02-25,-.2,,2.7,320,49.9
108,서울,2016-02-26,2.2,0,2.2,290,41.3
108,서울,2016-02-27,3.3,.2,2,320,57.6
108,서울,2016-02-28,.7,4.1,2.1,90,65.5
108,서울,2016-02-29,-3.8,0,4,320,48.6
108,서울,2016-03-01,-2.7,,2.5,320,47.3
108,서울,2016-03-02,3.1,,2.9,270,67.9
108,서울,2016-03-03,8.1,,1.9,200,65.1
108,서울,2016-03-04,13.2,.1,2.7,110,55.3
108,서울,2016-03-05,11.3,40,2.6,110,91.3
108,서울,2016-03-06,7.9,.2,2.8,320,51
108,서울,2016-03-07,8.1,0,2,110,36.9
108,서울,2016-03-08,2.7,,3.1,340,40.4
108,서울,2016-03-09,.3,,3.5,340,37.5
