지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),최다풍향(16방위),평균 상대습도(%)
108,서울,2018-01-01,-1.3,,1.4,290,39.1
108,서울,2018-01-02,-1.8,,1.8,290,42
108,서울,2018-01-03,-4.7,,2.2,290,42.3
108,서울,2018-01-04,-4.7,,1.4,290,43
108,서울,2018-01-05,-3,,1.7,290,48.4
108,서울,2018-01-06,-2.8,,1.5,290,45.8
108,서울,2018-01-07,-.8,,.8,90,42.1
108,서울,2018-01-08,1.3,.9,1.8,270,51.9
108,서울,2018-01-09,-4.2,.5,2.9,290,59.4
108,서울,2018-01-10,-7.5,.3,3,290,52
108,서울,2018-01-11,-11.1,,2.8,290,49.8
108,서울,2018-01-12,-10.2,0,1.7,290,35.4
108,서울,2018-01-13,-4.4,.4,.8,50,67.3
108,서울,2018-01-14,.6,,1.2,90,64.1
108,서울,2018-01-15,4.7,.2,1.4,290,63.9
108,서울,2018-01-16,3.5,0,.7,20,59.1
108,서울,2018-01-17,4.5,,1.2,290,64.1
108,서울,2018-01-18,2.1,0,1.9,290,59.6
108,서울,2018-01-19,1,,1.6,290,43
108,서울,2018-01-20,2.2,,1.6,270,57.6
108,서울,2018-01-21,.4,,1,290,36.6
108,서울,2018-01-22,.2,3.3,1.5,290,56.5
108,서울,2018-01-23,-11.7,,3.7,290,42
108,서울,2018-01-24,-14.2,,3.4,290,31.6
108,서울,2018-01-25,-14,,2.8,340,32.6
108,서울,2018-01-26,-14.8,,2.6,320,34.9
108,서울,2018-01-27,-9.9,,1.4,270,37.4
108,서울,2018-01-28,-6.3,,2.6,290,36
108,서울,2018-01-29,-8.5,,2.7,270,35
108,서울,2018-01-30,-5.3,2.9,1.3,200,62
108,서울,2018-01-31,-2.6,0,1.6,290,54.5
108,서울,2018-02-01,-4,,1.6,290,44.1
108,서울,2018-02-02,-2.4,,1.6,290,51.1
108,서울,2018-02-03,-7.3,.5,3.8,290,47
108,서울,2018-02-04,-9.5,,3.1,290,40.9
108,서울,2018-02-05,-9.4,,3,290,37.8
108,서울,2018-02-06,-10.1,,3.1,290,36.5
108,서울,2018-02-07,-8,,1.5,290,39.8
108,서울,2018-02-08,-4.4,,1.2,20,43.3
108,서울,2018-02-09,.4,,1.1,230,43.9
108,서울,2018-02-10,-.5,,3,290,47.4
108,서울,2018-02-11,-6.1,0,2.7,270,42.5
108,서울,2018-02-12,-5.8,0,2.7,270,40.8
108,서울,2018-02-13,-.8,,2.7,200,54.5
108,서울,2018-02-14,3.5,,2.6,250,51
108,서울,2018-02-15,-.7,,2.5,290,28
108,서울,2018-02-16,-1.1,,2.1,270,40.1
108,서울,2018-02-17,-3,,2.9,290,25.6
108,서울,2018-02-18,-.4,,1.3,270,26.9
108,서울,2018-02-19,1.8,,1.5,290,48.6
108,서울,2018-02-20,.9,,2.5,290,41
108,서울,2018-02-21,-.9,,2.3,290,31.5
108,서울,2018-02-22,1.3,.4,2.2,230,59
108,서울,2018-02-23,4.2,3.7,1.9,230,81.1
108,서울,2018-02-24,2.4,,2.1,290,49.4
108,서울,2018-02-25,1.9,,1.7,290,40.6
108,서울,2018-02-26,3.1,,1.4,290,43.1
108,서울,2018-02-27,4.2,,.9,90,48.8
108,서울,2018-02-28,4.6,25,2,90,73.3
108,서울,2018-03-01,-.2,.5,3.8,290,61.9
108,서울,2018-03-02,-.7,,1.5,290,34
108,서울,2018-03-03,7.9,0,1.5,270,38.1
108,서울,2018-03-04,9.8,11.5,1.2,90,89.1
108,서울,2018-03-05,5.5,3.5,2,50,67.5
108,서울,2018-03-06,4.5,,1.6,20,46.8
108,서울,2018-03-07,6.4,.5,1.8,90,54
108,서울,2018-03-08,4.6,4,1.9,320,76
108,서울,2018-03-09,4.5,,1.5,290,63.3
108,서울,2018-03-10,4.6,,2,290,65.8
108,서울,2018-03-11,6.4,,2,290,51.3
108,서울,2018-03-12,8,,1.4,290,45.8
108,서울,2018-03-13,12.4,,1.8,230,60.5
108,서울,2018-03-14,17,,2.3,230,58.8
108,서울,2018-03-15,12.4,27,2.1,270,92.1
108,서울,2018-03-16,7.1,,1.9,90,46.9
108,서울,2018-03-17,6.6,,1.5,270,48
108,서울,2018-03-18,8.2,.5,1.2,290,55.9
108,서울,2018-03-19,8,1,2.5,90,64.5
108,서울,2018-03-20,4.7,,3.4,90,39.9
108,서울,2018-03-21,2.1,1,1.7,20,64.1
108,서울,2018-03-22,4.9,,2.2,270,61.5
108,서울,2018-03-23,6.1,,2,270,55.3
108,서울,2018-03-24,7.6,,2.1,270,61.9
108,서울,2018-03-25,9.6,,1.7,290,65.6
108,서울,2018-03-26,11,,1.9,290,64.5
108,서울,2018-03-27,13.3,,1.6,250,61.1
108,서울,2018-03-28,14,,2.2,250,66.4
108,서울,2018-03-29,15.4,,1.6,270,66.3
108,서울,2018-03-30,14.8,,1.7,90,55.6
108,서울,2018-03-31,14,,1.9,270,52.9
108,서울,2018-04-01,15.6,,1.5,200,68.8
108,서울,2018-04-02,18.4,,1.9,230,64
108,서울,2018-04-03,17.8,.1,2.1,230,72.9
108,서울,2018-04-04,13.4,18.5,1.9,90,67
108,서울,2018-04-05,7.6,10.5,2,90,90.6
108,서울,2018-04-06,5.8,6.5,3.1,270,71.6
108,서울,2018-04-07,4.2,.2,4.1,270,45.5
108,서울,2018-04-08,3.9,3,1.8,90,59.6
108,서울,2018-04-09,7.9,,1.1,20,57.9
108,서울,2018-04-10,15.1,5,3.5,200,51
108,서울,2018-04-11,12.6,,3,270,49.4
108,서울,2018-04-12,13.3,,2.6,320,30.5
108,서울,2018-04-13,14.6,,1.3,110,22.9
108,서울,2018-04-14,9,9,1.8,290,78.8
108,서울,2018-04-15,9.5,,2.4,270,65.5
108,서울,2018-04-16,11.6,,1.6,270,41.9
108,서울,2018-04-17,12.9,,1.9,290,37.9
108,서울,2018-04-18,12.4,,1.9,290,35.4
108,서울,2018-04-19,14,,1.9,290,38.8
108,서울,2018-04-20,18.4,,1.3,20,46
108,서울,2018-04-21,18.7,,1.9,270,32
108,서울,2018-04-22,15.5,15.5,1.1,110,57.4
108,서울,2018-04-23,9.3,59,2.2,110,93.9
108,서울,2018-04-24,12.1,3,1.4,110,63.3
108,서울,2018-04-25,14.6,,1.5,290,37.8
108,서울,2018-04-26,14.9,,2.1,290,51.9
108,서울,2018-04-27,15.7,,1.7,290,52.9
108,서울,2018-04-28,15.4,,2,290,49
108,서울,2018-04-29,16.2,,1.9,290,43.1
108,서울,2018-04-30,19.2,,1.6,290,61.6
108,서울,2018-05-01,20.4,0,1.5,320,72.8
108,서울,2018-05-02,15.1,12,1.9,70,90.4
108,서울,2018-05-03,11.2,1,2.7,290,62.4
108,서울,2018-05-04,14.1,,2.7,270,45.5
108,서울,2018-05-05,18.3,,2.6,230,46.8
108,서울,2018-05-06,16.6,22,1.1,90,86.4
108,서울,2018-05-07,19.2,,1.2,290,60.3
108,서울,2018-05-08,17.5,,1.7,110,50.9
108,서울,2018-05-09,15.7,,1.7,90,50.4
108,서울,2018-05-10,15.4,,2.3,270,67.4
108,서울,2018-05-11,16.1,,1.8,290,59.8
108,서울,2018-05-12,14.2,32,.9,50,89.3
108,서울,2018-05-13,15.8,.5,1.9,270,82.5
108,서울,2018-05-14,18.2,,1.4,270,71.4
108,서울,2018-05-15,23.2,0,1.1,230,56.4
108,서울,2018-05-16,22.3,45,1.9,200,93.8
108,서울,2018-05-17,20.9,83,1.4,270,97
108,서울,2018-05-18,16.3,6.5,1.3,70,86.8
108,서울,2018-05-19,17.6,,1.5,90,47.5
108,서울,2018-05-20,17,,1.4,90,32.1
108,서울,2018-05-21,17.8,,1.4,110,43.9
108,서울,2018-05-22,18.1,12.5,1.1,290,75.5
108,서울,2018-05-23,17.3,6.5,2.5,320,57.1
108,서울,2018-05-24,18.3,,2.2,230,47.4
108,서울,2018-05-25,19.7,,1.8,290,47.4
108,서울,2018-05-26,21.8,,1.4,290,50.1
108,서울,2018-05-27,20.3,,1.7,320,47.4
108,서울,2018-05-28,22.3,,1.6,270,49.8
108,서울,2018-05-29,21.4,1,1.8,290,69.3
108,서울,2018-05-30,20.2,0,1.9,270,69.8
108,서울,2018-05-31,20.9,,1.9,290,58.9
108,서울,2018-06-01,23.8,,1.9,290,50.4
108,서울,2018-06-02,23.4,,2,270,44.5
108,서울,2018-06-03,24,,1.6,270,39.4
108,서울,2018-06-04,22.6,,1.9,290,50.1
108,서울,2018-06-05,23.7,,1.7,290,52.5
108,서울,2018-06-06,23,,2,270,62.9
108,서울,2018-06-07,22.2,,2,270,69.3
108,서울,2018-06-08,21.9,,2.1,290,68
108,서울,2018-06-09,23.7,.5,1.4,90,60.6
108,서울,2018-06-10,21.3,.5,1.4,90,59.9
