지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),최다풍향(16방위),평균 상대습도(%)
108,서울,2020-01-01,-2.2,.1,.6,50,64.4
108,서울,2020-01-02,1,,1.2,50,65.4
108,서울,2020-01-03,-.1,,1.7,290,56.9
108,서울,2020-01-04,1.2,,1.9,50,50.8
108,서울,2020-01-05,1.3,,1.1,50,45.6
108,서울,2020-01-06,3.1,1.8,3.1,70,65.4
108,서울,2020-01-07,6.3,46.3,4,70,95
108,서울,2020-01-08,2.4,11.6,3.3,270,86.1
108,서울,2020-01-09,-1.2,,2.3,290,65.3
108,서울,2020-01-10,-.6,,1.5,290,62.9
108,서울,2020-01-11,-.1,,1.9,290,60.9
108,서울,2020-01-12,-1,,2.4,290,61.5
108,서울,2020-01-13,-2.9,,2.3,290,51
108,서울,2020-01-14,-2.3,,1.6,290,45.3
108,서울,2020-01-15,-2.7,,1.9,270,44.8
108,서울,2020-01-16,-1.7,,1.6,320,43
108,서울,2020-01-17,-.6,,1.5,290,43.9
108,서울,2020-01-18,.3,,1.8,270,48.1
108,서울,2020-01-19,1.9,.6,2.2,270,62.8
108,서울,2020-01-20,.7,,2.5,270,46.8
108,서울,2020-01-21,-.4,,1.4,320,36.9
108,서울,2020-01-22,3,,1.7,50,36
108,서울,2020-01-23,4.6,,2,290,49.3
108,서울,2020-01-24,2.8,,1.7,290,63
108,서울,2020-01-25,4.3,,1.5,290,63.1
108,서울,2020-01-26,5.5,,2.7,70,56.3
108,서울,2020-01-27,5.9,.1,4.6,70,48.1
108,서울,2020-01-28,6.8,0,2.6,50,49.4
108,서울,2020-01-29,6,,2.1,70,46.4
108,서울,2020-01-30,5.2,,1.8,70,47
108,서울,2020-01-31,3.9,0,2.3,270,59.6
108,서울,2020-02-01,2.6,,1.7,290,66.6
108,서울,2020-02-02,1.5,,1.8,290,52.3
108,서울,2020-02-03,-.4,0,3.1,270,43.6
108,서울,2020-02-04,-1.6,1.7,2.8,320,50.3
108,서울,2020-02-05,-8.3,,3.3,320,37.3
108,서울,2020-02-06,-6.4,,1.9,290,36.4
108,서울,2020-02-07,-1.7,0,2,290,45.1
108,서울,2020-02-08,-.1,0,3,320,48.1
108,서울,2020-02-09,-.5,0,2,270,51.1
108,서울,2020-02-10,4,0,1.7,290,49.4
108,서울,2020-02-11,6.8,,1.6,50,37
108,서울,2020-02-12,7.4,6.7,2.2,70,73.4
108,서울,2020-02-13,6.5,,1.7,290,84.8
108,서울,2020-02-14,8.1,,1.2,290,70.3
108,서울,2020-02-15,9.8,2,2.7,70,63
108,서울,2020-02-16,-1.4,13.4,4,270,81.1
108,서울,2020-02-17,-5.9,1,3.4,320,64.3
108,서울,2020-02-18,-4.1,,2.3,290,44
108,서울,2020-02-19,1,,1.5,50,56.8
108,서울,2020-02-20,4.6,,1.7,50,62.6
108,서울,2020-02-21,6.7,4.2,2.2,200,66.3
108,서울,2020-02-22,4,3.1,4,270,62
108,서울,2020-02-23,2.5,,2,270,48.6
108,서울,2020-02-24,7,,1.6,50,51.8
108,서울,2020-02-25,6.7,16.6,4.2,70,73.5
108,서울,2020-02-26,6.4,0,2.1,50,59.6
108,서울,2020-02-27,6.1,,2,70,54
108,서울,2020-02-28,4.5,3.9,1.4,50,79.4
108,서울,2020-02-29,7.7,.5,1.7,50,68.6
108,서울,2020-03-01,5.8,.2,2,270,71.8
108,서울,2020-03-02,3.4,0,2.7,290,55.3
108,서울,2020-03-03,4.8,,2.6,70,57
108,서울,2020-03-04,2.2,0,3.7,270,53.4
108,서울,2020-03-05,1.4,,2.5,270,47.5
108,서울,2020-03-06,3.7,,1.6,50,46.8
108,서울,2020-03-07,7,,2,70,39.5
108,서울,2020-03-08,9.3,,1.6,290,43.8
108,서울,2020-03-09,11.1,,1.8,320,37.6
108,서울,2020-03-10,6.4,11.8,2.8,290,78.4
108,서울,2020-03-11,3.8,,3.3,270,41.8
108,서울,2020-03-12,6.8,,2.5,250,49.8
108,서울,2020-03-13,4.9,.5,3.3,320,41
108,서울,2020-03-14,3.6,,3,250,48.1
108,서울,2020-03-15,4,,3.6,320,48.3
108,서울,2020-03-16,3.6,,2.8,250,42.4
108,서울,2020-03-17,6.6,,2.1,230,65.8
108,서울,2020-03-18,10,,1.8,250,45.8
108,서울,2020-03-19,9.1,0,4.8,270,49
108,서울,2020-03-20,8.8,,3.1,200,39.6
108,서울,2020-03-21,12.8,,2,180,56.5
108,서울,2020-03-22,11,,3,290,37.5
108,서울,2020-03-23,10.6,,1.9,270,37.9
108,서울,2020-03-24,11.4,,1.8,270,35
108,서울,2020-03-25,12.5,,1.9,290,33.6
108,서울,2020-03-26,14.8,1.8,1.9,70,53.8
108,서울,2020-03-27,11.9,2,3.3,290,56.4
108,서울,2020-03-28,7.7,,3.2,360,17.9
108,서울,2020-03-29,8.7,,2,290,30.6
108,서울,2020-03-30,10.2,,1.8,270,38.4
108,서울,2020-03-31,11.9,,2,270,34.5
108,서울,2020-04-01,11.3,,3.7,290,35.6
108,서울,2020-04-02,9.3,,2.3,250,41.4
108,서울,2020-04-03,10,,2.7,270,53.8
108,서울,2020-04-04,8.9,,3.4,290,36.4
108,서울,2020-04-05,7.2,,2.8,270,29.5
108,서울,2020-04-06,9.3,,2.4,290,38.3
108,서울,2020-04-07,10.6,,2.5,270,56.6
108,서울,2020-04-08,9.4,,3.5,290,25.5
108,서울,2020-04-09,8.9,,2.8,270,44.6
108,서울,2020-04-10,10.7,,2.4,290,52.6
108,서울,2020-04-11,9.9,,2.5,290,63.8
108,서울,2020-04-12,9.9,,3.8,90,58.6
108,서울,2020-04-13,12.4,,3.1,70,39.4
108,서울,2020-04-14,13,,2.4,290,46.8
108,서울,2020-04-15,13.2,,2.2,290,39.8
108,서울,2020-04-16,16,,2.3,90,39.9
108,서울,2020-04-17,12.5,6.5,2.4,110,77.8
108,서울,2020-04-18,13.5,,2.6,320,67.9
108,서울,2020-04-19,12.3,10.3,2.7,90,75.8
108,서울,2020-04-20,10,.1,3.3,250,73
108,서울,2020-04-21,7.4,,4.4,290,49
108,서울,2020-04-22,6,0,4,290,46.8
108,서울,2020-04-23,7.9,,3.7,290,47.8
108,서울,2020-04-24,9.9,,3.9,270,55.6
108,서울,2020-04-25,13.1,,3.9,250,54.4
108,서울,2020-04-26,12.3,,3.2,290,43.1
108,서울,2020-04-27,12.9,,2.8,320,49.8
108,서울,2020-04-28,13.9,,3,250,50
108,서울,2020-04-29,14.9,,2.6,290,48.6
108,서울,2020-04-30,17.1,,2.7,250,57.1
108,서울,2020-05-01,20.2,,2.7,270,73.6
108,서울,2020-05-02,20.3,0,2.3,290,79.6
108,서울,2020-05-03,21.8,0,2,90,68.8
108,서울,2020-05-04,20.2,,2.7,290,63.9
108,서울,2020-05-05,16,,1.9,290,67.9
108,서울,2020-05-06,19.4,,2.1,70,50
108,서울,2020-05-07,20.7,,2.5,90,32.5
108,서울,2020-05-08,19.9,2.3,2.4,160,32.8
108,서울,2020-05-09,14.2,24.4,3.6,90,94.4
108,서울,2020-05-10,14.4,1.3,2.5,250,88.6
108,서울,2020-05-11,16.5,3.4,3,250,61
108,서울,2020-05-12,14.3,.7,2.9,250,69.4
108,서울,2020-05-13,16.1,,2.8,270,47.3
108,서울,2020-05-14,19.3,,2,90,35.4
108,서울,2020-05-15,16.1,12,3,90,81.4
108,서울,2020-05-16,16.7,2.5,1.6,290,90.3
108,서울,2020-05-17,19.1,0,1.7,320,80.1
108,서울,2020-05-18,19.1,29.8,2.4,140,79.4
108,서울,2020-05-19,13,19,3.2,50,73.6
108,서울,2020-05-20,14.4,0,1.9,90,60.4
108,서울,2020-05-21,17.4,,2.1,90,56.1
108,서울,2020-05-22,18.5,0,1.9,290,68.5
108,서울,2020-05-23,20.1,0,2.2,290,66.1
108,서울,2020-05-24,17.1,14.5,2.9,230,84.8
108,서울,2020-05-25,16.6,,2.1,320,81
108,서울,2020-05-26,16.2,1.5,2.1,290,81.9
108,서울,2020-05-27,17.4,,2.6,320,68.5
108,서울,2020-05-28,18.7,0,1.9,320,62.8
108,서울,2020-05-29,20.7,,2,290,65.6
108,서울,2020-05-30,22.6,,1.9,290,57.3
108,서울,2020-05-31,21.2,1,2.3,320,63
108,서울,2020-06-01,19.7,.4,3.4,290,64.3
108,서울,2020-06-02,17.9,2,2.2,290,71
108,서울,2020-06-03,22,,2.4,290,73.3
108,서울,2020-06-04,21.9,.2,2.7,250,81.1
108,서울,2020-06-05,23,,1.8,290,69.4
108,서울,2020-06-06,24.6,,2,290,63.6
108,서울,2020-06-07,22.7,,2.3,290,69.4
108,서울,2020-06-08,25,,2.1,290,63.6
108,서울,2020-06-09,26.7,,2.3,320,51.6
108,서울,2020-06-10,25.8,6.2,2,290,63.8
108,서울,2020-06-11,26.1,0,2.2,290,68.3
108,서울,2020-06-12,24.7,,1.7,290,68.6
108,서울,2020-06-13,26.9,0,1.9,290,52.8
108,서울,2020-06-14,24,1.1,2.9,270,70.6
108,서울,2020-06-15,23,,2.8,270,62.3
108,서울,2020-06-16,24.4,,2.2,290,63
108,서울,2020-06-17,24.3,,2,290,58.6
108,서울,2020-06-18,23.4,,1.6,320,61.4
108,서울,2020-06-19,24.7,.1,2.1,70,61.4
108,서울,2020-06-20,24.9,,2.1,290,62.6
108,서울,2020-06-21,26.1,,2,320,59.5
108,서울,2020-06-22,28.6,,2,290,50.5
108,서울,2020-06-23,27.3,0,1.9,270,53.5
108,서울,2020-06-24,22.3,37.6,2.7,50,83.5
108,서울,2020-06-25,21.6,13.3,2.2,180,91
108,서울,2020-06-26,21.8,2.1,3.2,230,82.1
108,서울,2020-06-27,24.1,0,2,250,70.4
108,서울,2020-06-28,25.2,,2.4,270,70.5
108,서울,2020-06-29,23.8,11.9,2.4,50,77
108,서울,2020-06-30,20.1,64.7,4,320,83
108,서울,2020-07-01,21.1,0,1.9,270,79.3
108,서울,2020-07-02,24.2,,1.9,110,74.5
108,서울,2020-07-03,25.5,.1,2.6,50,63.5
108,서울,2020-07-04,24.2,1.6,2.1,270,63.9
108,서울,2020-07-05,23.8,,1.9,250,68.6
108,서울,2020-07-06,25.6,,2.1,270,66.6
108,서울,2020-07-07,24.1,0,2.5,270,75.5
108,서울,2020-07-08,25.5,,2,270,71.9
108,서울,2020-07-09,27.5,,1.7,110,64.6
108,서울,2020-07-10,24.5,2.2,2.8,50,75
108,서울,2020-07-11,25.8,,2.6,50,62.6
108,서울,2020-07-12,23.5,2.9,2.4,70,71.9
108,서울,2020-07-13,18.7,47.6,4,70,94.8
108,서울,2020-07-14,20.3,11.5,2.8,50,79.4
108,서울,2020-07-15,23.4,,2,50,63.1
108,서울,2020-07-16,25,,1.8,270,70.9
108,서울,2020-07-17,26,0,1.9,250,72
108,서울,2020-07-18,26.1,,1.6,270,71.6
108,서울,2020-07-19,24,29.1,2.7,50,81.6
108,서울,2020-07-20,23.8,3.6,3.7,200,86.3
108,서울,2020-07-21,25,0,1.6,270,77
108,서울,2020-07-22,23.7,11.5,1.6,50,89.3
108,서울,2020-07-23,21.1,103.1,3.6,50,95.5
108,서울,2020-07-24,22.5,2.9,4.6,50,74.3
108,서울,2020-07-25,24.3,0,3.1,50,69.3
108,서울,2020-07-26,25.4,0,2,50,69.3
108,서울,2020-07-27,24.3,2.2,2.2,50,86.4
108,서울,2020-07-28,24.4,.4,2,50,84.8
108,서울,2020-07-29,23.7,50.1,2,50,95.8
108,서울,2020-07-30,25.3,.1,2.1,230,85.5
108,서울,2020-07-31,26.2,1.5,2,250,81.9
108,서울,2020-08-01,25.3,39.1,1.7,230,90.9
108,서울,2020-08-02,24.9,31.4,2.3,180,96.3
108,서울,2020-08-03,25,102.6,3,200,96.3
108,서울,2020-08-04,27,3.9,3.5,200,89.3
108,서울,2020-08-05,26.5,18.5,1.9,50,92.1
108,서울,2020-08-06,24.1,75.7,3.3,200,92.8
