지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),최다풍향(16방위),평균 상대습도(%)
108,서울,2019-01-01,-5,,2.1,290,49.5
108,서울,2019-01-02,-4.9,,1.7,270,42.8
108,서울,2019-01-03,-3.5,,1.4,290,38.8
108,서울,2019-01-04,-1.1,,1.2,20,55.5
108,서울,2019-01-05,-2.8,,2.2,290,40.3
108,서울,2019-01-06,-2.8,,1.2,290,35
108,서울,2019-01-07,-1.9,,1.4,290,46.4
108,서울,2019-01-08,-3.5,,2.6,290,31
108,서울,2019-01-09,-4.7,,1.3,50,28.8
108,서울,2019-01-10,-.6,,1.3,290,48.8
108,서울,2019-01-11,2.4,,1,20,58.8
108,서울,2019-01-12,2.8,,1.3,290,47.6
108,서울,2019-01-13,1.2,,1.4,270,54.3
108,서울,2019-01-14,1.4,,.9,290,68.6
108,서울,2019-01-15,-1.7,0,2.7,290,58.8
108,서울,2019-01-16,-5.2,0,2.3,270,45.9
108,서울,2019-01-17,-.3,0,1.7,290,45.8
108,서울,2019-01-18,.6,,1.3,290,44
108,서울,2019-01-19,3.6,,1.2,50,59.8
108,서울,2019-01-20,-1.4,,3.2,290,38.5
108,서울,2019-01-21,-1.2,0,1.6,270,57.8
108,서울,2019-01-22,1.7,,1.7,20,62
108,서울,2019-01-23,2,,2.3,270,48.9
108,서울,2019-01-24,.1,,1.7,270,34.9
108,서울,2019-01-25,-1.2,,2.6,290,27.6
108,서울,2019-01-26,-2.5,,2.4,320,30.9
108,서울,2019-01-27,-.1,,1.7,230,52.5
108,서울,2019-01-28,1.2,0,3.1,290,40.4
108,서울,2019-01-29,-.2,,1.5,290,35.5
108,서울,2019-01-30,1.8,,1.5,290,54.6
108,서울,2019-01-31,-2,,2.9,290,29
108,서울,2019-02-01,-2.1,.3,1.7,270,47.6
108,서울,2019-02-02,1.4,0,1,70,60
108,서울,2019-02-03,3.3,16,1.7,90,92.9
108,서울,2019-02-04,-.6,,2.1,290,40.4
108,서울,2019-02-05,2.8,,1,50,37.1
108,서울,2019-02-06,5.1,,1.3,20,54.9
108,서울,2019-02-07,-2.1,.5,3.5,290,45.5
108,서울,2019-02-08,-6.1,,2.3,290,31.5
108,서울,2019-02-09,-5.4,,2.7,320,30
108,서울,2019-02-10,-5,,1.7,290,31.3
108,서울,2019-02-11,-3,,2.3,270,34.9
108,서울,2019-02-12,-.6,0,1.9,290,35.5
108,서울,2019-02-13,-2.1,,2.4,290,26.6
108,서울,2019-02-14,-.5,,1.4,250,24.3
108,서울,2019-02-15,-.8,2.2,1.9,290,72.8
