지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),최다풍향(16방위),평균 상대습도(%)
108,서울,2014-01-01,4,0,3.7,270,51.3
108,서울,2014-01-02,1.5,,2,290,35.4
108,서울,2014-01-03,2.3,,2.5,50,54.4
108,서울,2014-01-04,-.1,,2.4,270,47.1
108,서울,2014-01-05,-.8,,1.9,270,48.4
108,서울,2014-01-06,.8,,1.6,50,50.4
108,서울,2014-01-07,3,0,1.7,20,56
108,서울,2014-01-08,.5,0,3.3,290,56.6
108,서울,2014-01-09,-7.8,,3.6,290,26.3
108,서울,2014-01-10,-4.7,0,2,270,48.6
108,서울,2014-01-11,-1.7,,1.9,290,44.1
108,서울,2014-01-12,-2.4,0,3.4,320,43.5
108,서울,2014-01-13,-6.2,,2.9,290,26
108,서울,2014-01-14,-4.3,,2.2,270,33.8
108,서울,2014-01-15,-2.9,,1.7,270,42
108,서울,2014-01-16,.1,,1.9,50,59.9
108,서울,2014-01-17,-.1,,1.6,270,55.9
108,서울,2014-01-18,-2.2,,3.1,290,42.4
108,서울,2014-01-19,-2.6,0,1.9,20,44.8
108,서울,2014-01-20,-1.5,5.3,3.2,70,83.3
108,서울,2014-01-21,-5.5,.7,2.4,290,62.6
108,서울,2014-01-22,-3.9,,1.6,290,60
108,서울,2014-01-23,-.8,,2.1,50,65.6
108,서울,2014-01-24,3,,2.6,50,64.4
108,서울,2014-01-25,4.2,3,2.4,290,74.4
108,서울,2014-01-26,-2.1,,2.7,290,42.1
108,서울,2014-01-27,.2,,2.6,50,48
108,서울,2014-01-28,1.5,.5,2.9,290,52.8
108,서울,2014-01-29,2.2,,2.2,50,40.1
108,서울,2014-01-30,4,3.5,3,270,66.1
108,서울,2014-01-31,1.3,,2.2,70,26.1
108,서울,2014-02-01,4.9,11,3.4,70,63.8
108,서울,2014-02-02,4.9,.5,2,270,91.6
108,서울,2014-02-03,-3.5,,4.3,320,38.5
108,서울,2014-02-04,-7.4,,3.4,290,25.9
108,서울,2014-02-05,-4.8,,2,270,27.5
108,서울,2014-02-06,-1.3,,1.7,20,29.8
108,서울,2014-02-07,2.4,0,4.8,,47.3
108,서울,2014-02-08,.2,4.3,4.3,,79.4
108,서울,2014-02-09,-1.6,.2,2.7,290,76.5
108,서울,2014-02-10,-.1,.2,2.5,70,55
108,서울,2014-02-11,.2,,3.2,70,42.1
108,서울,2014-02-12,1.2,0,2.5,70,49.3
108,서울,2014-02-13,1.9,,2.2,70,46.1
108,서울,2014-02-14,2.7,,3.1,70,47.3
108,서울,2014-02-15,2.7,,2.7,50,54.6
108,서울,2014-02-16,2.8,,1.7,50,53.3
108,서울,2014-02-17,4.2,,2,50,45.5
108,서울,2014-02-18,2.5,,3.5,50,45.9
108,서울,2014-02-19,2.1,,2.6,50,48.6
108,서울,2014-02-20,1.2,,2.8,270,61.5
108,서울,2014-02-21,.9,,2.6,270,49.1
108,서울,2014-02-22,2.2,,2.1,290,49.3
108,서울,2014-02-23,3.1,,2.1,290,50.6
108,서울,2014-02-24,4.1,,2.3,290,58
108,서울,2014-02-25,5.7,,2,270,59.9
108,서울,2014-02-26,8.4,,1.9,50,44.9
108,서울,2014-02-27,7.7,,2.8,270,55.4
108,서울,2014-02-28,6.7,,2.3,70,58.8
108,서울,2014-03-01,6,,2.6,270,61.1
