지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),최다풍향(16방위),평균 상대습도(%)
108,서울,2009-01-01,-5.8,,2.3,290,45.8
108,서울,2009-01-02,-2.8,,1.6,290,51.5
108,서울,2009-01-03,-1,,1.8,20,48.3
108,서울,2009-01-04,.4,,1.9,290,44.3
108,서울,2009-01-05,-1.6,,2.2,290,53.1
108,서울,2009-01-06,-2,,1.7,290,50
108,서울,2009-01-07,-.5,,1.8,290,42
108,서울,2009-01-08,-.9,,1.8,290,42
108,서울,2009-01-09,-3.5,,3,290,43
108,서울,2009-01-10,-7.5,,3.5,290,42
108,서울,2009-01-11,-8,,3.3,290,39.5
108,서울,2009-01-12,-7.8,,4.1,290,47.5
108,서울,2009-01-13,-5.5,,2.1,290,45.3
108,서울,2009-01-14,-6.6,,3.5,290,39.6
108,서울,2009-01-15,-6.3,,2.1,270,34.4
108,서울,2009-01-16,-2.8,3.3,2,50,80.8
108,서울,2009-01-17,-1.4,,2.3,70,76.8
108,서울,2009-01-18,2.6,,2.4,70,71.8
108,서울,2009-01-19,.6,,2.6,270,48
108,서울,2009-01-20,2.2,,1.7,290,30.3
108,서울,2009-01-21,3.9,0,1.9,50,53.6
108,서울,2009-01-22,3.6,0,3.4,50,61.6
108,서울,2009-01-23,-9,,4.7,290,38.6
108,서울,2009-01-24,-8.1,2,2.3,270,62.9
108,서울,2009-01-25,-4.6,.4,2.7,20,65.4
108,서울,2009-01-26,-3.3,,2.4,270,63.8
108,서울,2009-01-27,-1.9,,2,50,52.8
108,서울,2009-01-28,1.5,,1.9,70,42.1
108,서울,2009-01-29,3.3,,1.5,50,37
108,서울,2009-01-30,5.8,,3.2,70,46.6
108,서울,2009-01-31,6.1,,2.6,50,50.4
108,서울,2009-02-01,5.3,,2.2,70,52.1
108,서울,2009-02-02,5.2,,2.2,290,72.1
108,서울,2009-02-03,5.7,,1.9,270,67.5
108,서울,2009-02-04,4.4,,2.1,290,65.5
108,서울,2009-02-05,4.4,.2,2,320,71.3
108,서울,2009-02-06,3.2,,1.7,290,70.1
108,서울,2009-02-07,2.8,,1.8,270,80.3
108,서울,2009-02-08,2.7,,1.7,290,56.8
108,서울,2009-02-09,5,,2.6,290,47.9
108,서울,2009-02-10,4.5,0,2.8,230,69.1
108,서울,2009-02-11,5.7,0,2.6,230,73.5
108,서울,2009-02-12,6.8,.2,3,70,56.3
108,서울,2009-02-13,10.4,34.5,4.9,230,84.6
108,서울,2009-02-14,3.6,,2.4,290,73.4
108,서울,2009-02-15,-1.6,.4,3.4,320,46.1
108,서울,2009-02-16,-6,,4,290,28.8
108,서울,2009-02-17,-4.6,,2.4,290,39.1
108,서울,2009-02-18,-2.2,,2.2,290,41.3
108,서울,2009-02-19,.6,.4,2.2,50,50.6
108,서울,2009-02-20,-2.5,1,4.1,290,58
108,서울,2009-02-21,-2.2,,2.2,230,53.5
108,서울,2009-02-22,3,,1.7,50,59.9
108,서울,2009-02-23,6.2,,1.6,50,54.5
108,서울,2009-02-24,7.6,.2,2.1,50,68.4
108,서울,2009-02-25,2.8,0,3.1,290,46.6
108,서울,2009-02-26,2.4,,2.6,290,35.4
108,서울,2009-02-27,3.9,,2.5,290,34.4
108,서울,2009-02-28,5.2,,2.1,290,31.9
108,서울,2009-03-01,3.3,,3.3,290,30.3
108,서울,2009-03-02,3.6,,2,50,36
108,서울,2009-03-03,2.7,6.5,2,290,78.4
108,서울,2009-03-04,3.7,,1.8,50,63.4
108,서울,2009-03-05,5.2,9,2.4,70,70.4
108,서울,2009-03-06,1.6,,4.2,290,53.5
108,서울,2009-03-07,1.7,,2.5,230,51.4
108,서울,2009-03-08,5.1,,2.3,50,43.8
108,서울,2009-03-09,5.9,,2.6,270,60
108,서울,2009-03-10,3.4,,3.3,290,32.3
108,서울,2009-03-11,4.5,,2.5,290,32.3
108,서울,2009-03-12,7.9,3.5,2.3,70,34.9
108,서울,2009-03-13,2.7,19.5,4.4,290,68.4
108,서울,2009-03-14,.2,,4.6,270,37.5
108,서울,2009-03-15,5.1,,4,200,60.6
108,서울,2009-03-16,8.7,,3.4,230,75.1
108,서울,2009-03-17,12.3,,3.3,230,57.3
108,서울,2009-03-18,16.3,,4.7,230,71.9
