지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),최다풍향(16방위),평균 상대습도(%)
108,서울,2002-01-01,-4.8,,3.7,290,55.9
108,서울,2002-01-02,-9.9,,3.5,290,45
108,서울,2002-01-03,-6.5,,1.6,50,54
108,서울,2002-01-04,1.5,0,1.9,50,71.8
108,서울,2002-01-05,-.7,,2.5,290,47.3
108,서울,2002-01-06,0,,1.6,70,48.5
108,서울,2002-01-07,-2.5,1.5,4.5,270,61.9
108,서울,2002-01-08,-6.6,,4.4,270,52.5
108,서울,2002-01-09,-3.5,,1.5,270,54.3
108,서울,2002-01-10,2.2,,1.8,50,67.5
108,서울,2002-01-11,3.7,,1.7,270,71
108,서울,2002-01-12,4.9,,1.3,50,64.1
108,서울,2002-01-13,7.4,,2.1,70,64.1
108,서울,2002-01-14,10.5,1,1.8,70,73.5
108,서울,2002-01-15,12.2,13.5,1,70,94.1
108,서울,2002-01-16,7,8.5,2,70,81.6
108,서울,2002-01-17,3.1,1.5,1.7,70,86.6
108,서울,2002-01-18,2.2,,1.4,50,79.3
108,서울,2002-01-19,5.1,,1.9,70,70.9
108,서울,2002-01-20,2.4,6.5,1.6,270,88.3
108,서울,2002-01-21,-.1,4,2.5,270,79.3
108,서울,2002-01-22,-4.6,0,4.2,270,59.6
108,서울,2002-01-23,-4.2,,3.7,270,52.9
108,서울,2002-01-24,-2.8,,2.1,270,46.9
108,서울,2002-01-25,-1.9,,1.2,50,48
108,서울,2002-01-26,1.5,.5,1,70,70.9
108,서울,2002-01-27,-.2,,2.9,270,64.3
108,서울,2002-01-28,-3,,3.5,270,52.8
108,서울,2002-01-29,-1.7,.4,2.6,270,55.9
108,서울,2002-01-30,-.5,,2.6,270,51
108,서울,2002-01-31,-1.8,,1.9,270,47.8
108,서울,2002-02-01,1.4,,2.5,230,64.3
108,서울,2002-02-02,4.3,,1.6,290,63.3
108,서울,2002-02-03,4,,1.1,20,52.1
108,서울,2002-02-04,3.9,,.9,50,52.4
108,서울,2002-02-05,4.7,,1.5,270,51.3
108,서울,2002-02-06,5.9,0,2.3,230,71.6
108,서울,2002-02-07,4.2,,2.2,250,49.3
108,서울,2002-02-08,2,0,2.6,230,57.3
108,서울,2002-02-09,-1.9,,2.6,270,33.6
108,서울,2002-02-10,-.6,0,2.2,270,51.5
108,서울,2002-02-11,-1.7,0,3,290,44.8
108,서울,2002-02-12,-1.1,,2.1,290,42.6
108,서울,2002-02-13,.2,,2.5,290,42.4
108,서울,2002-02-14,1.2,,2,270,33.8
108,서울,2002-02-15,1.7,,1.8,270,53.3
108,서울,2002-02-16,3.5,,1.1,50,74
108,서울,2002-02-17,2.7,1.4,2.7,50,71
108,서울,2002-02-18,-1.7,,4,270,41.4
108,서울,2002-02-19,-.5,,2.7,250,36.9
108,서울,2002-02-20,3.1,,1.9,50,66
108,서울,2002-02-21,3.9,1,.8,50,78.6
108,서울,2002-02-22,5.6,,1.9,270,64
108,서울,2002-02-23,5,,2.4,270,35.9
108,서울,2002-02-24,6.3,,1.1,270,42.6
108,서울,2002-02-25,5.3,,2,270,54.3
108,서울,2002-02-26,6.4,,1.4,270,59.4
108,서울,2002-02-27,7.3,,1.6,270,67.5
108,서울,2002-02-28,6.1,,2.1,250,75.9
108,서울,2002-03-01,6.6,,1.3,270,62.8
108,서울,2002-03-02,7,,1.6,270,53.5
108,서울,2002-03-03,4.8,,1.8,250,55.3
108,서울,2002-03-04,4.2,,1.6,290,36.6
108,서울,2002-03-05,4,.5,1.6,270,65.5
108,서울,2002-03-06,1.8,2.5,3.5,270,66.1
108,서울,2002-03-07,1.2,,3,270,45.4
108,서울,2002-03-08,3.8,,1.5,270,57.4
108,서울,2002-03-09,9.2,,2.7,230,62
108,서울,2002-03-10,9.1,.5,2.7,290,53.1
108,서울,2002-03-11,7.4,,2.5,230,48.4
108,서울,2002-03-12,9.3,,1.4,230,58.6
108,서울,2002-03-13,11.5,,1.3,50,38.8
108,서울,2002-03-14,10.4,0,1,50,51.5
108,서울,2002-03-15,8.5,1,2.9,230,67.3
108,서울,2002-03-16,8.4,,2.5,230,48.3
108,서울,2002-03-17,9.4,,2.8,230,43.9
108,서울,2002-03-18,7.4,,2.9,230,54.8
108,서울,2002-03-19,8.5,,2.2,270,46
108,서울,2002-03-20,11.9,,2,50,55.3
108,서울,2002-03-21,7.1,17,3.6,230,63.9
108,서울,2002-03-22,6.5,,4,230,47
108,서울,2002-03-23,4.7,,3.4,270,36.6
108,서울,2002-03-24,5.2,,2.1,270,40.5
108,서울,2002-03-25,7.3,,1.8,230,62
108,서울,2002-03-26,9.1,,1.3,320,61.6
108,서울,2002-03-27,10.5,,1.8,270,45.5
108,서울,2002-03-28,11.3,,1.4,270,48.4
108,서울,2002-03-29,12.3,,1.4,270,61.5
108,서울,2002-03-30,8.9,10,1.1,270,69.8
108,서울,2002-03-31,9.6,0,1.4,250,83.3
108,서울,2002-04-01,13,,1.2,50,60.8
108,서울,2002-04-02,15.5,,1,270,43
108,서울,2002-04-03,15.1,,1.3,70,32.6
108,서울,2002-04-04,15,,1.1,70,29.1
108,서울,2002-04-05,17.7,1,1.2,70,30.9
108,서울,2002-04-06,11.1,24.5,2.4,230,90
108,서울,2002-04-07,8.9,.1,1.9,250,87.6
108,서울,2002-04-08,8.3,,2.8,250,48.3
108,서울,2002-04-09,7,,3.2,270,52.5
108,서울,2002-04-10,8.4,,2.8,230,56.9
108,서울,2002-04-11,9.4,,1.3,270,48.9
108,서울,2002-04-12,9.9,8.5,2.7,230,68
108,서울,2002-04-13,11.6,,1.8,270,54.3
108,서울,2002-04-14,19.2,,4.9,200,46.1
108,서울,2002-04-15,19.8,0,2.4,160,65.9
108,서울,2002-04-16,13.7,20.5,3.5,230,87
108,서울,2002-04-17,9.8,,5.1,270,45.5
108,서울,2002-04-18,11.3,,3.2,250,45
108,서울,2002-04-19,12.5,,1.9,50,35.6
108,서울,2002-04-20,14.6,,1.9,290,34.3
108,서울,2002-04-21,17,,1.8,250,47.1
108,서울,2002-04-22,21,,1.6,250,53.1
108,서울,2002-04-23,17,,3.4,250,67.3
108,서울,2002-04-24,10.5,,4.1,290,44.1
108,서울,2002-04-25,10.9,,2.2,270,40.6
108,서울,2002-04-26,14.3,,1.8,50,35.3
108,서울,2002-04-27,16.4,,1.5,50,34.5
108,서울,2002-04-28,18.6,,1.5,50,35.1
108,서울,2002-04-29,14.9,70,1.8,70,88
108,서울,2002-04-30,14.6,30.5,1.7,70,84.5
108,서울,2002-05-01,18.9,,2.3,70,39.4
108,서울,2002-05-02,18.3,3,2.1,50,36
108,서울,2002-05-03,16,9,1.3,70,83.1
108,서울,2002-05-04,19.1,,2.4,270,69.9
108,서울,2002-05-05,19.6,,1.3,230,47
108,서울,2002-05-06,15.6,6,2,70,56
108,서울,2002-05-07,11.4,21.5,3.1,70,87.8
108,서울,2002-05-08,16.6,,1.8,70,59.8
108,서울,2002-05-09,18.3,,1.9,270,66.9
108,서울,2002-05-10,18.5,,2,270,72.9
108,서울,2002-05-11,17.9,,2.5,250,70.5
108,서울,2002-05-12,16.4,,2.4,250,73.1
108,서울,2002-05-13,18.3,,2.2,290,71.1
108,서울,2002-05-14,21.3,,1.1,140,62.4
108,서울,2002-05-15,18.1,8,2.7,70,69.5
108,서울,2002-05-16,14.9,3.5,3.2,70,75.4
108,서울,2002-05-17,13.4,1.5,1.4,70,87.4
108,서울,2002-05-18,16.9,,2,270,71.1
108,서울,2002-05-19,17.3,,2.4,250,69
108,서울,2002-05-20,19.3,,2.5,250,52.8
108,서울,2002-05-21,19.6,,2.4,270,46.5
108,서울,2002-05-22,20,,3,250,56.3
108,서울,2002-05-23,21.9,,2.3,270,38.9
108,서울,2002-05-24,19.9,,2.9,230,46.5
108,서울,2002-05-25,19.9,,3,230,51.1
108,서울,2002-05-26,18.5,,2.2,290,59
108,서울,2002-05-27,18.6,,1.9,270,53.9
108,서울,2002-05-28,19.3,,2,270,43.6
108,서울,2002-05-29,20.6,,2,270,47.8
108,서울,2002-05-30,19.1,4,3.8,230,78.1
108,서울,2002-05-31,19.4,1.5,3.1,230,80.1
108,서울,2002-06-01,20.2,.2,2.4,270,69.9
108,서울,2002-06-02,22.9,,1.6,270,47.6
108,서울,2002-06-03,23.4,,2,270,47.3
108,서울,2002-06-04,22.4,1.5,1.7,270,56.8
108,서울,2002-06-05,25.2,,1.2,270,51.9
108,서울,2002-06-06,25.9,,1.5,270,53.8
108,서울,2002-06-07,25.2,,2.3,270,54.1
108,서울,2002-06-08,22.1,,2.9,270,69.6
108,서울,2002-06-09,22.8,,2,230,65.6
108,서울,2002-06-10,22.4,31.5,2.7,230,78.9
108,서울,2002-06-11,21.9,,3,230,56.3
108,서울,2002-06-12,18.6,15.5,.8,50,72.9
108,서울,2002-06-13,19.7,,3.3,230,69
108,서울,2002-06-14,20.4,,3.1,230,65.4
108,서울,2002-06-15,20.6,.2,1.9,250,66.8
108,서울,2002-06-16,22.4,,1.6,270,57.9
108,서울,2002-06-17,23.2,,1.5,270,58.5
108,서울,2002-06-18,23.4,,2.4,270,64.5
108,서울,2002-06-19,22.3,0,1.3,50,70.8
108,서울,2002-06-20,22.2,5,2,250,77.8
108,서울,2002-06-21,23.6,,2.2,290,65
108,서울,2002-06-22,23.7,,2.3,70,52.4
108,서울,2002-06-23,18.1,1.5,2.1,70,78.6
108,서울,2002-06-24,16.4,6,2.7,70,74.8
108,서울,2002-06-25,19.8,,2,70,49.1
108,서울,2002-06-26,20.9,,1.5,70,48.6
108,서울,2002-06-27,21.6,,2,270,61
108,서울,2002-06-28,23.6,,1.9,270,55.9
108,서울,2002-06-29,25.8,,1.4,270,49.1
108,서울,2002-06-30,26.3,0,1.3,70,53.6
108,서울,2002-07-01,25,.5,1.3,50,71.1
108,서울,2002-07-02,24.1,5,1.5,270,80.4
108,서울,2002-07-03,26,,2,270,67.9
108,서울,2002-07-04,27.7,,1.3,270,63
108,서울,2002-07-05,23.3,46,2.1,70,86.1
108,서울,2002-07-06,21.2,25,2.4,70,89
108,서울,2002-07-07,22.7,0,4.1,230,72.5
108,서울,2002-07-08,24.3,0,2.2,160,68.6
108,서울,2002-07-09,25.3,,.9,70,64.4
108,서울,2002-07-10,26.2,,1.2,50,60.3
108,서울,2002-07-11,25.2,,2.4,270,62.6
108,서울,2002-07-12,25.5,,2.5,230,65.8
108,서울,2002-07-13,25.1,2.5,1.9,230,71.4
108,서울,2002-07-14,23.6,22,2.1,230,92.3
108,서울,2002-07-15,25.6,.5,3.3,230,82.4
108,서울,2002-07-16,24.7,,3.1,270,73.4
108,서울,2002-07-17,24.4,0,2.6,230,72.8
108,서울,2002-07-18,24.9,,1.2,70,64.4
108,서울,2002-07-19,20.8,60.5,1.7,70,87.6
108,서울,2002-07-20,23.6,.5,1.4,270,76.3
108,서울,2002-07-21,25.8,0,1.4,270,76.3
108,서울,2002-07-22,24.3,14,1.2,110,84.8
108,서울,2002-07-23,22.4,42,.9,70,93.6
108,서울,2002-07-24,25.3,.1,2.4,230,81.8
