지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),최다풍향(16방위),평균 상대습도(%)
108,서울,2012-01-01,-3,0,2.9,290,64.5
108,서울,2012-01-02,-4.8,,2.3,270,66.5
108,서울,2012-01-03,-4.5,.4,2.5,290,68.3
108,서울,2012-01-04,-7.4,0,3.1,320,55.4
108,서울,2012-01-05,-5.7,,1.5,290,49.8
108,서울,2012-01-06,-2.8,,2.5,290,42.9
108,서울,2012-01-07,-3.8,,1.6,20,46.5
108,서울,2012-01-08,-2.5,,1.7,20,54.3
108,서울,2012-01-09,-.3,0,1.9,250,66.1
108,서울,2012-01-10,-2.5,,2.5,270,53.9
108,서울,2012-01-11,-6,,3.1,290,42.3
108,서울,2012-01-12,-4.6,0,2.5,270,56.5
108,서울,2012-01-13,-1.2,,2.5,290,52.8
108,서울,2012-01-14,-1.5,,2.1,270,51.6
108,서울,2012-01-15,-2.6,,2.4,290,44.5
108,서울,2012-01-16,1,,1.4,20,44.6
108,서울,2012-01-17,2.8,,1.8,50,48.5
108,서울,2012-01-18,1.4,,1.7,290,39.8
108,서울,2012-01-19,5.3,.2,2.9,70,54.4
108,서울,2012-01-20,5.4,.5,3.4,70,61
108,서울,2012-01-21,2.4,.1,2.8,50,60.3
108,서울,2012-01-22,-7.7,,4.2,290,37.9
108,서울,2012-01-23,-9.6,,3.4,320,33.3
108,서울,2012-01-24,-7.3,1.6,2.5,270,39.9
108,서울,2012-01-25,-8.2,,3.1,290,41.3
108,서울,2012-01-26,-2.9,0,2.5,50,54.5
108,서울,2012-01-27,-.9,0,2.5,50,64.6
108,서울,2012-01-28,-1.8,,2.5,320,24.4
108,서울,2012-01-29,-2.8,,2.8,290,23.4
108,서울,2012-01-30,-5.6,,2.8,270,22.4
108,서울,2012-01-31,-4.7,3.9,3.1,270,48.4
108,서울,2012-02-01,-12.8,,3.9,290,47.9
108,서울,2012-02-02,-13.7,,3.4,290,44.4
108,서울,2012-02-03,-8.6,.1,2.3,20,54.3
108,서울,2012-02-04,-3,.2,2.3,290,48.5
108,서울,2012-02-05,-.9,,1.4,50,36.1
108,서울,2012-02-06,.9,.2,2.4,290,50.6
108,서울,2012-02-07,-8.7,0,5.2,290,42.3
108,서울,2012-02-08,-8,,3.5,270,39.1
108,서울,2012-02-09,-4.5,,2.5,270,48.9
108,서울,2012-02-10,-3.5,0,2.8,20,46.4
108,서울,2012-02-11,-3.8,,2.6,270,42.5
108,서울,2012-02-12,-.1,,1.8,250,34.4
108,서울,2012-02-13,3.1,,2.1,50,26.3
108,서울,2012-02-14,3,,2.5,290,48.9
108,서울,2012-02-15,-1.3,,3.7,290,31.5
108,서울,2012-02-16,-2.8,,3.5,270,32.4
108,서울,2012-02-17,-6.4,,4.4,290,35.1
108,서울,2012-02-18,-6.8,,3.4,270,38.9
108,서울,2012-02-19,-4.4,,2.4,270,39.6
108,서울,2012-02-20,-.2,,2.6,50,56.8
108,서울,2012-02-21,2.3,,1.9,70,59.1
108,서울,2012-02-22,5.8,,2.4,70,46.6
108,서울,2012-02-23,4.4,.3,3.1,290,64.4
108,서울,2012-02-24,4.3,,3.2,70,61.3
108,서울,2012-02-25,1.2,,3.8,320,57.4
108,서울,2012-02-26,-1.6,,3.3,290,33.5
108,서울,2012-02-27,-.7,,2.4,290,31.3
108,서울,2012-02-28,2.1,,2.1,50,26.6
108,서울,2012-02-29,5.4,,2.2,20,27.1
108,서울,2012-03-01,8.7,,1.9,270,20.1
108,서울,2012-03-02,6.9,.3,3,50,54.6
108,서울,2012-03-03,6.9,,3.5,70,47.1
108,서울,2012-03-04,6.2,0,5.2,70,49.9
108,서울,2012-03-05,5.3,7,5.8,70,66.9
108,서울,2012-03-06,3,8.5,4.7,270,81.6
108,서울,2012-03-07,3,,2.9,270,60.1
108,서울,2012-03-08,2,,3.5,290,47.8
108,서울,2012-03-09,3.4,,2.1,50,48.9
108,서울,2012-03-10,3.9,,3.5,270,52.5
108,서울,2012-03-11,-2.4,0,5.4,290,43
108,서울,2012-03-12,-1.6,,3.8,270,40.1
108,서울,2012-03-13,1.7,,2.6,250,49.8
108,서울,2012-03-14,3.6,0,3.8,230,70.4
