지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),최다풍향(16방위),평균 상대습도(%)
108,서울,2013-01-01,-4.7,3.1,3.2,70,73.5
108,서울,2013-01-02,-11.7,,4.2,290,40.8
108,서울,2013-01-03,-13.2,,2.8,340,42.8
108,서울,2013-01-04,-10.7,,1.8,270,44.3
108,서울,2013-01-05,-7,,2.3,50,59.4
108,서울,2013-01-06,-6.3,,1.9,270,59.4
108,서울,2013-01-07,-5.1,,1.7,290,53.6
108,서울,2013-01-08,-4.6,,2.2,290,53.4
108,서울,2013-01-09,-9,,3,320,38.5
108,서울,2013-01-10,-8.3,,2.3,290,41.3
108,서울,2013-01-11,-3.2,0,2.3,50,50.5
108,서울,2013-01-12,0,.1,2.5,270,70
108,서울,2013-01-13,-.5,,1.6,50,65.6
108,서울,2013-01-14,-2.1,,2.2,320,61.6
108,서울,2013-01-15,-2.1,,2,50,57
108,서울,2013-01-16,-2.6,.3,2.4,270,64.1
108,서울,2013-01-17,-5.8,,2.8,290,62.9
108,서울,2013-01-18,-4.4,,2,270,51.9
108,서울,2013-01-19,.5,,2,270,59.9
108,서울,2013-01-20,1.6,,3.1,70,55.8
108,서울,2013-01-21,2.2,16.5,4.3,70,83.6
108,서울,2013-01-22,3.8,.5,2.2,70,74.3
108,서울,2013-01-23,1.8,1.5,3.1,270,80.4
108,서울,2013-01-24,-.9,.1,4.3,270,57.6
108,서울,2013-01-25,-9.1,,4.7,270,37.5
108,서울,2013-01-26,-9.2,,3.5,270,37
108,서울,2013-01-27,-7.3,,2.6,270,44.9
108,서울,2013-01-28,-3.5,,2.1,70,56
108,서울,2013-01-29,2.2,0,2.7,70,63.5
108,서울,2013-01-30,5.4,,2.1,50,68.8
108,서울,2013-01-31,7.4,0,2.9,70,59.5
108,서울,2013-02-01,7.3,46.5,3.7,70,85.8
108,서울,2013-02-02,-1.1,,4.1,250,52.1
108,서울,2013-02-03,-3.2,7.5,2.7,50,62.3
108,서울,2013-02-04,-.8,7.4,2.6,290,77.1
108,서울,2013-02-05,-.6,4.5,2.4,70,77
108,서울,2013-02-06,-1.5,2.1,3.3,270,75
108,서울,2013-02-07,-11.1,0,5.5,290,42.5
108,서울,2013-02-08,-11.5,,2.7,270,39.3
108,서울,2013-02-09,-7.2,,1.8,290,55.5
108,서울,2013-02-10,-4,1.2,2.9,290,56.6
108,서울,2013-02-11,-5.8,,2.1,290,41.8
